               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097507,            0.027869,                   0,            0.099574,             0.27778,            0.062352,            0.012048,            0.079941,            0.016908,                   0,           0.0032479,           0.0032479,            0.070769
                   1,            0.072503,             0.02201,                   0,             0.49755,              0.4539,             0.43338,             0.14105,            0.065922,            0.012288,                   0,            0.006516,            0.006516,            0.040704
                   2,            0.063643,            0.017963,                   0,             0.46842,             0.33333,             0.34288,             0.11849,            0.066749,           0.0092369,                   0,           0.0097182,           0.0097182,            0.010573
                   3,            0.057389,            0.015194,                   0,             0.68612,             0.48611,             0.53307,              0.2414,            0.058023,           0.0093422,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.050964,            0.014507,                   0,             0.70893,             0.54167,             0.61708,             0.29584,            0.046597,           0.0084245,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.046014,            0.012562,                   0,             0.89941,               0.625,             0.72434,             0.36566,            0.045541,            0.006879,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.043193,            0.010989,                   0,             0.85697,             0.66576,             0.76247,             0.37279,            0.046121,           0.0072294,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.041228,            0.009974,                   0,             0.84319,                0.75,             0.82885,             0.36734,            0.045621,           0.0064028,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.038881,            0.010386,                   0,              0.8571,             0.74977,             0.79252,             0.39491,            0.045772,           0.0055878,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.037874,           0.0092931,                   0,             0.72432,             0.80556,              0.7817,             0.36109,            0.043226,            0.006057,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.037823,           0.0092454,                   0,             0.84374,             0.74996,             0.83048,              0.4022,            0.041891,           0.0060226,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.034206,           0.0084113,                   0,              0.8262,             0.86111,             0.85744,             0.46646,            0.041292,           0.0056116,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.034327,           0.0082988,                   0,             0.91904,             0.79167,             0.82341,             0.36321,            0.043035,           0.0061854,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.03284,           0.0084313,                   0,             0.80753,             0.81944,             0.81526,              0.4315,            0.042874,           0.0056139,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.033017,           0.0082475,                   0,             0.81293,             0.84722,             0.83621,             0.40546,            0.043564,           0.0057591,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.032055,           0.0080372,                   0,             0.85643,             0.83333,             0.87208,             0.47615,            0.038382,           0.0055182,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.031238,            0.007678,                   0,             0.90147,             0.76389,             0.84564,             0.44614,            0.042484,            0.005763,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.02954,           0.0072395,                   0,             0.81088,             0.77418,             0.78473,             0.37377,            0.045855,           0.0057558,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.029769,           0.0071496,                   0,             0.80807,             0.81865,              0.8409,             0.42019,            0.042656,           0.0057018,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.029058,           0.0072881,                   0,             0.84847,             0.77771,             0.85201,             0.47221,            0.039767,           0.0059379,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.028353,           0.0067522,                   0,             0.83559,             0.70833,             0.78986,             0.40295,            0.042629,           0.0065014,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.027033,           0.0072643,                   0,             0.87301,             0.76387,             0.83836,             0.47971,            0.039547,           0.0062429,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.026042,           0.0071745,                   0,             0.80882,             0.76386,             0.79686,             0.45842,            0.039823,           0.0062535,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.026118,           0.0063506,                   0,             0.83073,                0.75,             0.81853,             0.45334,            0.038655,           0.0060511,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.025617,           0.0063898,                   0,             0.88496,                0.75,             0.83877,              0.4772,            0.039189,            0.006342,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.024348,           0.0065593,                   0,             0.76315,             0.80553,              0.7786,             0.40608,            0.039889,           0.0061502,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.025038,           0.0063437,                   0,             0.87277,             0.76389,             0.82818,             0.46217,            0.039861,           0.0061512,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.02516,           0.0064462,                   0,             0.83311,             0.83333,             0.86032,             0.44735,            0.038693,           0.0059082,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.023925,           0.0063229,                   0,             0.90163,             0.76381,             0.84168,             0.48793,            0.039204,           0.0061758,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.02339,           0.0064512,                   0,             0.77303,             0.80556,             0.79776,             0.38312,            0.043092,           0.0058976,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.021726,           0.0060335,                   0,             0.95896,             0.69444,             0.82677,             0.47226,            0.039623,           0.0065037,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.021558,           0.0057632,                   0,              0.8775,             0.80556,             0.82913,             0.43758,            0.040404,           0.0067352,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.022265,           0.0056883,                   0,             0.85029,             0.78886,             0.83763,             0.46895,            0.039175,            0.006814,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.022686,           0.0056001,                   0,             0.81156,             0.77778,             0.81892,             0.45907,            0.039804,            0.006269,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.020987,            0.005893,                   0,             0.75935,             0.83333,             0.81949,             0.45765,            0.039209,           0.0061273,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.020559,           0.0058359,                   0,             0.90321,             0.77763,             0.84588,             0.47768,            0.039425,           0.0062997,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.02198,           0.0056075,                   0,             0.79429,             0.80556,             0.81374,             0.45578,             0.04028,            0.006713,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.019536,           0.0053313,                   0,             0.82601,             0.79167,             0.82661,             0.50178,            0.038507,           0.0067248,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.01985,           0.0053289,                   0,             0.79164,             0.79155,             0.84603,             0.47048,            0.038135,           0.0061604,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.019476,           0.0055467,                   0,             0.91472,             0.77778,             0.87622,             0.48236,            0.038746,           0.0058246,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.019089,           0.0052684,                   0,             0.85237,             0.72171,             0.81905,              0.4651,            0.038615,            0.006213,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.017677,           0.0051028,                   0,             0.88333,             0.73609,              0.8277,             0.47897,            0.037952,           0.0064472,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.017916,           0.0051942,                   0,             0.89237,             0.70423,             0.83344,             0.47711,            0.038971,           0.0072337,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.018862,           0.0051181,                   0,             0.80277,             0.79167,             0.83911,             0.50974,            0.038188,           0.0071226,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.018175,           0.0048484,                   0,             0.84848,             0.77777,             0.84002,             0.50706,             0.03778,           0.0067361,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.018115,           0.0050237,                   0,             0.96209,             0.70833,             0.83985,             0.43433,            0.038803,           0.0070118,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.017022,           0.0047728,                   0,             0.94493,             0.72222,             0.86485,             0.47294,            0.037206,           0.0066685,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.016173,           0.0050514,                   0,             0.90439,             0.79167,             0.85831,              0.5075,            0.036993,           0.0066155,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.018976,           0.0051079,                   0,             0.85489,             0.81827,             0.85542,             0.48948,            0.037712,           0.0066482,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.016818,           0.0049354,                   0,             0.89205,             0.80556,             0.86015,             0.49961,            0.037332,           0.0065263,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.016634,           0.0050335,                   0,             0.92727,             0.70832,             0.82593,             0.46615,            0.039083,           0.0064752,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.016672,           0.0049805,                   0,             0.90164,             0.76385,             0.84453,             0.49186,            0.038129,           0.0067151,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.015507,           0.0047584,                   0,             0.88524,             0.74998,             0.82779,             0.49189,            0.038278,           0.0066746,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.016212,           0.0048114,                   0,             0.93101,                0.75,             0.81884,             0.49176,            0.038541,           0.0070517,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.015858,           0.0044675,                   0,             0.91524,             0.74989,             0.84515,             0.45977,             0.03849,           0.0071749,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.015352,           0.0044797,                   0,             0.84029,             0.80556,             0.82588,             0.49025,            0.038314,            0.007493,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.015204,           0.0045962,                   0,             0.87293,             0.76389,             0.82168,             0.49747,            0.037671,           0.0077641,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.014708,            0.004403,                   0,             0.86781,             0.73611,             0.82709,             0.48209,            0.037183,           0.0077619,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.014563,           0.0044534,                   0,             0.89787,             0.73611,             0.80462,             0.47119,            0.038229,           0.0079051,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.014376,            0.004454,                   0,             0.87096,             0.74996,             0.83111,             0.51431,            0.036692,           0.0072916,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.013379,           0.0040903,                   0,             0.86139,             0.77778,             0.83388,              0.4968,            0.037271,           0.0077105,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.014475,           0.0043413,                   0,              0.9448,             0.72222,             0.85119,             0.50862,            0.036386,           0.0072253,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.013276,           0.0041494,                   0,             0.94543,             0.72189,             0.85078,             0.50534,            0.036597,           0.0073569,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.014314,           0.0042972,                   0,             0.84032,             0.80556,             0.83897,              0.5037,            0.036677,           0.0074212,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.012697,           0.0040255,                   0,             0.94643,             0.73607,             0.84645,             0.51559,            0.036585,           0.0076372,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.012271,           0.0040043,                   0,             0.92982,             0.73604,             0.83039,             0.51712,            0.036731,           0.0077514,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.012524,           0.0038501,                   0,             0.94318,             0.70423,             0.83093,             0.49863,            0.037216,           0.0079858,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.012356,           0.0040922,                   0,             0.82585,             0.79167,              0.8296,             0.50162,            0.036747,           0.0078684,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.011884,           0.0038704,                   0,             0.90446,             0.79167,             0.86088,             0.51289,            0.037068,           0.0074502,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.011966,           0.0039754,                   0,             0.83316,             0.83333,             0.85205,              0.4981,            0.037139,           0.0076595,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.011661,           0.0037239,                   0,             0.88889,             0.77775,             0.85941,             0.52242,            0.036636,           0.0072034,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.011683,           0.0038289,                   0,             0.96412,                0.75,             0.84632,             0.51664,            0.036608,           0.0076001,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.011062,           0.0035631,                   0,             0.96364,              0.7361,             0.85175,             0.51433,            0.036422,           0.0076469,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.011108,           0.0039729,                   0,             0.90321,             0.78862,              0.8531,             0.51818,            0.036346,           0.0078444,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.011733,           0.0037928,                   0,             0.93216,             0.76333,             0.83464,             0.51096,            0.036811,           0.0080929,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.011347,           0.0035673,                   0,             0.96428,             0.74995,             0.83355,              0.5131,              0.0369,           0.0079243,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.011137,           0.0037627,                   0,             0.96473,             0.76389,             0.83504,             0.52218,             0.03693,           0.0079665,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.010591,           0.0036159,                   0,             0.94729,                0.75,             0.83512,             0.50895,            0.037381,           0.0078304,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.010756,           0.0033332,                   0,             0.93103,             0.74993,               0.838,             0.49678,            0.037269,           0.0079716,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.010659,           0.0035486,                   0,             0.96294,             0.72222,             0.84521,             0.51886,            0.036659,           0.0078475,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.010318,           0.0035971,                   0,             0.94543,              0.7219,             0.83697,              0.5204,            0.036499,           0.0078864,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.010373,           0.0036004,                   0,             0.92971,             0.73611,             0.83788,             0.52817,            0.037018,           0.0080328,                   0,             0.00208,             0.00208,             0.00208
                  82,           0.0097721,           0.0034812,                   0,             0.88707,             0.76389,             0.85015,             0.52761,            0.036917,           0.0080502,                   0,            0.001981,            0.001981,            0.001981
                  83,           0.0095331,           0.0033398,                   0,             0.90075,             0.76389,             0.84456,             0.53001,            0.036564,           0.0081524,                   0,            0.001882,            0.001882,            0.001882
                  84,           0.0091306,           0.0032808,                   0,             0.98056,             0.73611,              0.8509,             0.51916,            0.036519,           0.0082385,                   0,            0.001783,            0.001783,            0.001783
                  85,           0.0093006,           0.0033941,                   0,             0.96428,             0.74995,             0.84431,             0.50867,            0.036649,           0.0081951,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.009143,           0.0032788,                   0,              0.9016,             0.76389,             0.85376,             0.51417,            0.036865,           0.0081189,                   0,            0.001585,            0.001585,            0.001585
                  87,           0.0091623,           0.0033261,                   0,              0.9165,             0.76389,             0.85217,             0.51267,            0.036677,            0.008181,                   0,            0.001486,            0.001486,            0.001486
